number,link,date,name,first_review,second_review,rating,n_reviews,type,price_range,price
265,https://www.tripadvisor.com/Restaurants-g60713-oa240-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_1524,256. Sakana,"“We were not overjoyed with the tempura , but their California roll is one of t...”","“We were not overjoyed with the tempura , but their California roll is one of t...”",40,211,"Japanese, Sushi",$$ - $$$,mid_range
266,https://www.tripadvisor.com/Restaurants-g60713-oa240-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_1524,257. Tuba Authentic Turkish Restaurant,“If you would like to eat Mediterranean ...”,“If you would like to eat Mediterranean ...”,45,98,"Mediterranean, Turkish",$$ - $$$,mid_range
267,https://www.tripadvisor.com/Restaurants-g60713-oa240-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_1524,258. Anchor and Hope,“ Tuna Tartare”,“ Tuna Tartare”,40,390,"American, Seafood",$$ - $$$,mid_range
268,https://www.tripadvisor.com/Restaurants-g60713-oa240-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_1524,259. Brenda’s Meat & Three,“Great Beignets and fun service!”,“Great Beignets and fun service!”,45,103,"American, Cajun & Creole",$$ - $$$,mid_range
269,https://www.tripadvisor.com/Restaurants-g60713-oa240-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_1524,260. The Monk's Kettle,"“Loved the corn soup, loved the cheeseboard, and even the lamb burger - local...”","“Loved the corn soup, loved the cheeseboard, and even the lamb burger - local...”",45,162,"American, Bar",$$ - $$$,mid_range
270,https://www.tripadvisor.com/Restaurants-g60713-oa240-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_1524,261. Catch,"“We each had a large starter, scallops with portobello mushrooms and mussels i...”","“We each had a large starter, scallops with portobello mushrooms and mussels i...”",40,266,"American, Seafood",$$ - $$$,mid_range
271,https://www.tripadvisor.com/Restaurants-g60713-oa240-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_1524,262. Calzone's Restaurant,“Delicious salad ”,“Delicious salad ”,40,912,"Italian, Pizza",$$ - $$$,mid_range
272,https://www.tripadvisor.com/Restaurants-g60713-oa240-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_1524,263. Crab House at Pier 39,"“The salad, calamari and pasta were exce...”","“The salad, calamari and pasta were exce...”",40,2062,"American, Seafood",$$ - $$$,mid_range
273,https://www.tripadvisor.com/Restaurants-g60713-oa240-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_1524,264. Alexander's Steakhouse,“... 8-oz filet mignon for the steak cou...”,“... 8-oz filet mignon for the steak cou...”,40,311,"Steakhouse, American",$$$$,fine_dining
274,https://www.tripadvisor.com/Restaurants-g60713-oa240-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_1524,265. Comstock Saloon,“This bar manages to feel authentically old fashioned yet still have a cool vi...”,“This bar manages to feel authentically old fashioned yet still have a cool vi...”,45,170,"American, Bar",$$ - $$$,mid_range
275,https://www.tripadvisor.com/Restaurants-g60713-oa240-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_1524,266. Cesario's,"“... chicken parmesan , and a seafood pae...”","“... chicken parmesan , and a seafood pae...”",40,716,Italian,$$ - $$$,mid_range
276,https://www.tripadvisor.com/Restaurants-g60713-oa240-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_1524,267. Akikos Restaurant & Sushi Bar,"“Unbelievable selection of sushi , expertly prepared with beautiful presentation.”","“Unbelievable selection of sushi , expertly prepared with beautiful presentation.”",45,181,"Japanese, Seafood",$$$$,fine_dining
277,https://www.tripadvisor.com/Restaurants-g60713-oa240-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_1524,268. San Tung,"“The boiled SHRIMP AND LEEK DUMPLINGS were very good, but remember that you ha...”","“The boiled SHRIMP AND LEEK DUMPLINGS were very good, but remember that you ha...”",40,225,"Chinese, Asian",$$ - $$$,mid_range
278,https://www.tripadvisor.com/Restaurants-g60713-oa240-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_1524,269. Pork Store Cafe,“Very traditional breakfast - pancakes w...”,“Very traditional breakfast - pancakes w...”,45,202,"American, Cafe",$,cheap_eats
279,https://www.tripadvisor.com/Restaurants-g60713-oa240-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_1524,270. Franciscan Crab Restaurant,"“Excellent starter of crab & smoked salmon pancakes and prosciutto, followed b...”","“Excellent starter of crab & smoked salmon pancakes and prosciutto, followed b...”",40,2571,"American, Seafood",$$ - $$$,mid_range
280,https://www.tripadvisor.com/Restaurants-g60713-oa300-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_1524,The New Spot On Polk,“After visiting a different burger bar t...”,“After visiting a different burger bar t...”,45,73,"American, Cafe",$$ - $$$,mid_range
281,https://www.tripadvisor.com/Restaurants-g60713-oa300-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_1524,301. 25 Lusk,“The octopus appy then rob eye and last the cheesecake were all fantastic.”,“The octopus appy then rob eye and last the cheesecake were all fantastic.”,40,183,"American, Contemporary",$$$$,fine_dining
283,https://www.tripadvisor.com/Restaurants-g60713-oa300-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_1524,303. Curbside Cafe,“The French Toast is especially yummy.”,“The French Toast is especially yummy.”,45,124,"French, European",$$ - $$$,mid_range
284,https://www.tripadvisor.com/Restaurants-g60713-oa300-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_1524,304. Umami Burger,“ImpossibleBurger!”,“ImpossibleBurger!”,45,179,American,$$ - $$$,mid_range
285,https://www.tripadvisor.com/Restaurants-g60713-oa300-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_1524,305. Stones Throw,“... skin on the sea bass was to die for.”,“... skin on the sea bass was to die for.”,45,147,American,$$ - $$$,mid_range
286,https://www.tripadvisor.com/Restaurants-g60713-oa300-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_1524,306. A16,"“... these yet), The over-the-top prosciutto platter was amazingly delicious.”","“... these yet), The over-the-top prosciutto platter was amazingly delicious.”",40,588,"Italian, Pizza",$$ - $$$,mid_range
287,https://www.tripadvisor.com/Restaurants-g60713-oa300-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_1524,307. Limon,“Best spot to eat Lomo Saltado ”,“Best spot to eat Lomo Saltado ”,40,251,"Peruvian, Latin",$$ - $$$,mid_range
288,https://www.tripadvisor.com/Restaurants-g60713-oa300-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_1524,308. Piccino,“ Salad selection of beets and the buratta were excellent and ample enough to s...”,“ Salad selection of beets and the buratta were excellent and ample enough to s...”,45,141,"Italian, Pizza",$$ - $$$,mid_range
289,https://www.tripadvisor.com/Restaurants-g60713-oa300-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_1524,309. R & G Lounge,“... in your mouth; and the honey spare ribs were bit sized and the best I hav...”,“... in your mouth; and the honey spare ribs were bit sized and the best I hav...”,40,1703,"Chinese, Seafood",$$ - $$$,mid_range
290,https://www.tripadvisor.com/Restaurants-g60713-oa300-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_1524,310. Maru Sushi,“I recommend the unagi and the tako.”,“I recommend the unagi and the tako.”,40,480,"Japanese, Sushi",$$ - $$$,mid_range
291,https://www.tripadvisor.com/Restaurants-g60713-oa300-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_1524,311. Fang,“... salad...salt & pepper pumpkin & prawns ... We'll definitely return when we...”,“... salad...salt & pepper pumpkin & prawns ... We'll definitely return when we...”,40,583,"Chinese, Asian",$$ - $$$,mid_range
292,https://www.tripadvisor.com/Restaurants-g60713-oa300-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_1524,312. IHOP,“Double blueberry pancakes were my favou...”,“Double blueberry pancakes were my favou...”,40,751,"American, Diner",$,cheap_eats
293,https://www.tripadvisor.com/Restaurants-g60713-oa300-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_1524,313. ThirstyBear Brewing Company,“Lovely brew pub !”,“Lovely brew pub !”,40,512,"Bar, Spanish",$$ - $$$,mid_range
294,https://www.tripadvisor.com/Restaurants-g60713-oa300-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_1524,314. Osha Thai Restaurant,"“... We ordered fresh rolls, spicy eggplant , drunken noodles and yellow curry.”","“... We ordered fresh rolls, spicy eggplant , drunken noodles and yellow curry.”",40,275,"Asian, Thai",$$ - $$$,mid_range
295,https://www.tripadvisor.com/Restaurants-g60713-oa300-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_1524,315. Lers Ros Thai,"“ Curry , beef, rice, noodles were all great!”","“ Curry , beef, rice, noodles were all great!”",40,228,"Asian, Thai",$$ - $$$,mid_range
296,https://www.tripadvisor.com/Restaurants-g60713-oa300-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_1524,316. Delarosa,“Good margherita pizza ”,“Good margherita pizza ”,40,255,"Italian, Pizza",$$ - $$$,mid_range
297,https://www.tripadvisor.com/Restaurants-g60713-oa300-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_1524,317. La Mediterranee,“Great Mediterranean food.”,“Great Mediterranean food.”,45,100,"Mediterranean, Middle Eastern",$$ - $$$,mid_range
298,https://www.tripadvisor.com/Restaurants-g60713-oa300-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_1524,318. Pescatore,"“The chicken parmigiana was a huge portion, my mussels were great, and the pro...”","“The chicken parmigiana was a huge portion, my mussels were great, and the pro...”",40,970,"Seafood, Italian",$$ - $$$,mid_range
299,https://www.tripadvisor.com/Restaurants-g60713-oa300-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_1524,319. Tin - Vietnamese Cuisine,"“One of our absolute favorite is Bun Rieu (Shrimp, crab and minced pork balls,...”","“One of our absolute favorite is Bun Rieu (Shrimp, crab and minced pork balls,...”",45,130,"Asian, Vietnamese",$$ - $$$,mid_range
300,https://www.tripadvisor.com/Restaurants-g60713-oa300-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_1524,320. Capo's Chicago Pizza and Fine Italian Dinners by Tony Gemignani,"“We had some of Tony's classic meatballs to start out with, along with some de...”","“We had some of Tony's classic meatballs to start out with, along with some de...”",45,165,"Italian, Pizza",$$ - $$$,mid_range
301,https://www.tripadvisor.com/Restaurants-g60713-oa300-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_1524,321. Whole Foods Market,“Eat healthy and tasty”,“Eat healthy and tasty”,45,105,American,$$ - $$$,mid_range
302,https://www.tripadvisor.com/Restaurants-g60713-oa300-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_1524,322. Starbelly,“... nicely washed down with some mimosas .”,“... nicely washed down with some mimosas .”,40,208,American,$$ - $$$,mid_range
303,https://www.tripadvisor.com/Restaurants-g60713-oa300-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_1524,323. Garaje Sf,“ Great beer .”,“ Great beer .”,45,84,"Mexican, American",$,cheap_eats
304,https://www.tripadvisor.com/Restaurants-g60713-oa300-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_1524,324. Blue Plate,"“... salad, mac and cheese , fish special...”","“... salad, mac and cheese , fish special...”",45,140,"American, Contemporary",$$ - $$$,mid_range
305,https://www.tripadvisor.com/Restaurants-g60713-oa300-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_1524,325. SoMa Streat Food Park,“Much better than it looks!”,“Much better than it looks!”,45,123,Fast Food,$,cheap_eats
306,https://www.tripadvisor.com/Restaurants-g60713-oa300-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_1524,326. Hayes Street Grill,“My wife had scallops on a White Corn Succotash which was to die for and my so...”,“My wife had scallops on a White Corn Succotash which was to die for and my so...”,40,242,"Seafood, American",$$ - $$$,mid_range
307,https://www.tripadvisor.com/Restaurants-g60713-oa300-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_1524,327. Tartine Manufactory,"“Well, the tartine was so lovely as was the salmon .”","“Well, the tartine was so lovely as was the salmon .”",40,202,"American, Cafe",$$ - $$$,mid_range
308,https://www.tripadvisor.com/Restaurants-g60713-oa300-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_1524,328. Bund Shanghai Restaurant,“They have both pork soup dumplings and pork and crab soup dumplings.”,“They have both pork soup dumplings and pork and crab soup dumplings.”,40,274,"Chinese, Asian",$$ - $$$,mid_range
309,https://www.tripadvisor.com/Restaurants-g60713-oa300-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_1524,329. Sam's Grill And Seafood Restaurant,“We started with the shrimp scampi and had the special halibut both of which w...”,“We started with the shrimp scampi and had the special halibut both of which w...”,40,344,"American, Seafood",$$ - $$$,mid_range
310,https://www.tripadvisor.com/Restaurants-g60713-oa300-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_1524,330. Scala's Bistro,"“Order the Fritto Misto , Steak, Gnocchi...”","“Order the Fritto Misto , Steak, Gnocchi...”",40,2066,"Italian, European",$$ - $$$,mid_range
311,https://www.tripadvisor.com/Restaurants-g60713-oa330-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_1524,Beach Street Grill Organic Restaurant,“The eggs Benedict and breakfast burrito went down well and the coffee seemed...”,“The eggs Benedict and breakfast burrito went down well and the coffee seemed...”,40,702,"American, Seafood",$$ - $$$,mid_range
312,https://www.tripadvisor.com/Restaurants-g60713-oa330-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_1524,331. Fog City,“My husband and daughter enjoyed the salmon sandwich.”,“My husband and daughter enjoyed the salmon sandwich.”,40,535,American,$$ - $$$,mid_range
313,https://www.tripadvisor.com/Restaurants-g60713-oa330-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_1524,332. B Star,"“They were mostly delicious, especially the Tea Leaf salad , cod noodle and ta...”","“They were mostly delicious, especially the Tea Leaf salad , cod noodle and ta...”",45,144,$$ - $$$ Men,$$ - $$$,mid_range
314,https://www.tripadvisor.com/Restaurants-g60713-oa330-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_1524,333. Trattoria Pinocchio,“Outstanding lunch - best spaghetti with pesto and excellent minestrone soup ”,“Outstanding lunch - best spaghetti with pesto and excellent minestrone soup ”,40,610,Italian,$$ - $$$,mid_range
315,https://www.tripadvisor.com/Restaurants-g60713-oa330-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_1524,334. Lupa Trattoria,"“... meal in Rome!), rack of lamb, veal with mushrooms and of course, lasagna .”","“... meal in Rome!), rack of lamb, veal with mushrooms and of course, lasagna .”",45,137,Italian,$$ - $$$,mid_range
316,https://www.tripadvisor.com/Restaurants-g60713-oa330-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_1524,335. Presidio Social Club,“Pretty good grub for a small spot”,“Pretty good grub for a small spot”,40,362,"American, Bar",$$ - $$$,mid_range
317,https://www.tripadvisor.com/Restaurants-g60713-oa330-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_1524,336. Central Kitchen,“The salmon and the pasta dishes were bo...”,“The salmon and the pasta dishes were bo...”,45,128,American,$$ - $$$,mid_range
318,https://www.tripadvisor.com/Restaurants-g60713-oa330-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_1524,337. Hunan Home's Restaurant,"“I ordered Kung Pao Chicken , which is my go-to Chinese meal in Chicago.”","“I ordered Kung Pao Chicken , which is my go-to Chinese meal in Chicago.”",40,1247,"Chinese, Asian",$$ - $$$,mid_range
319,https://www.tripadvisor.com/Restaurants-g60713-oa330-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_1524,338. Mozzeria,"“... the one with pancetta , spinach and ...”","“... the one with pancetta , spinach and ...”",45,72,"Italian, Pizza",$$ - $$$,mid_range
320,https://www.tripadvisor.com/Restaurants-g60713-oa330-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_1524,339. Lazy Bear,"“... and purslane 3) Barbecued rack of lamb with shelling beans, shishito, lam...”","“... and purslane 3) Barbecued rack of lamb with shelling beans, shishito, lam...”",45,96,American,$$$$,fine_dining
321,https://www.tripadvisor.com/Restaurants-g60713-oa330-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_1524,340. Tropisueno,"“Tacos were great, with flour tortillas .”","“Tacos were great, with flour tortillas .”",40,762,"Mexican, Latin",$$ - $$$,mid_range
322,https://www.tripadvisor.com/Restaurants-g60713-oa330-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_1524,341. Amici's East Coast Pizzeria,“ Brick oven pizza ”,“ Brick oven pizza ”,40,302,"Italian, Pizza",$$ - $$$,mid_range
323,https://www.tripadvisor.com/Restaurants-g60713-oa330-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_1524,342. King Of Thai Noodle,“We had chicken pad thai and it was absolutely delicious.”,“We had chicken pad thai and it was absolutely delicious.”,40,529,"Asian, Thai",$,cheap_eats
324,https://www.tripadvisor.com/Restaurants-g60713-oa330-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_1524,343. Beretta,“Then we had the spicy meat pizza (forget the name) and the osso bucco risotto .”,“Then we had the spicy meat pizza (forget the name) and the osso bucco risotto .”,40,208,"Italian, Pizza",$$ - $$$,mid_range
325,https://www.tripadvisor.com/Restaurants-g60713-oa330-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_1524,344. Lai Hong Lounge,"“... Pork Belly, Xiao Long Bao soup dumplings , etc. Pea Shoots in garlic are d...”","“... Pork Belly, Xiao Long Bao soup dumplings , etc. Pea Shoots in garlic are d...”",45,98,"Chinese, Asian",$$ - $$$,mid_range
326,https://www.tripadvisor.com/Restaurants-g60713-oa330-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_1524,345. McCormick & Kuleto's Seafood & Steaks,“The crab was sweet and fresh.I then had a delicious grilled salmon club and m...”,“The crab was sweet and fresh.I then had a delicious grilled salmon club and m...”,40,1423,American,$$$$,fine_dining
327,https://www.tripadvisor.com/Restaurants-g60713-oa330-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_1524,346. Waterfront Restaurant and Cafe,"“We got chowder, cioppino, seafood cob salad, lobster Mac and Cheese , and orde...”","“We got chowder, cioppino, seafood cob salad, lobster Mac and Cheese , and orde...”",40,783,"American, Seafood",$$$$,fine_dining
328,https://www.tripadvisor.com/Restaurants-g60713-oa330-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_1524,347. Osha Thai Restaurant,“ Thai food on the Embarcadero”,“ Thai food on the Embarcadero”,40,343,"Asian, Thai",$$ - $$$,mid_range
329,https://www.tripadvisor.com/Restaurants-g60713-oa330-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_1524,348. Plouf,“We also had deviled eggs and tasty French fries that all enjoyed.”,“We also had deviled eggs and tasty French fries that all enjoyed.”,40,332,"Seafood, French",$$ - $$$,mid_range
330,https://www.tripadvisor.com/Restaurants-g60713-oa330-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_1524,349. Pied Piper,“The salmon and the ribeye were both exquisite.”,“The salmon and the ribeye were both exquisite.”,40,325,"American, Bar",$$ - $$$,mid_range
331,https://www.tripadvisor.com/Restaurants-g60713-oa330-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_1524,350. Terzo,“Outstanding Tapas ”,“Outstanding Tapas ”,45,88,"Mediterranean, International",$$ - $$$,mid_range
332,https://www.tripadvisor.com/Restaurants-g60713-oa330-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_1524,351. Mona Lisa,“We had pizza and tiramisu .”,“We had pizza and tiramisu .”,40,983,"Italian, Mediterranean",$$ - $$$,mid_range
333,https://www.tripadvisor.com/Restaurants-g60713-oa330-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_1524,352. Mortons Steak,“Great food and service. Expensive.”,“Great food and service. Expensive.”,40,198,"American, Steakhouse",$$$$,fine_dining
334,https://www.tripadvisor.com/Restaurants-g60713-oa330-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_1524,353. Tonga Room,"“... from that, the poke appetizer is fantastic, and I really liked the scallops .”","“... from that, the poke appetizer is fantastic, and I really liked the scallops .”",40,1058,"Bar, Asian",$$ - $$$,mid_range
335,https://www.tripadvisor.com/Restaurants-g60713-oa330-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_1524,354. The Grove Fillmore,“Berkeley bowl salad !”,“Berkeley bowl salad !”,40,206,"American, Cafe",$$ - $$$,mid_range
336,https://www.tripadvisor.com/Restaurants-g60713-oa330-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_1524,355. Morton's The Steakhouse,“The filet mignon was a tender delight.”,“The filet mignon was a tender delight.”,40,1396,"American, Steakhouse",$$$$,fine_dining
337,https://www.tripadvisor.com/Restaurants-g60713-oa330-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_1524,356. Mel's Drive-In - Mission St.,"“Good, solid American food ”","“Good, solid American food ”",40,1088,"American, Diner",$$ - $$$,mid_range
338,https://www.tripadvisor.com/Restaurants-g60713-oa330-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_1524,357. City Chopsticks,“The Garlic Prawns are amazzzzzzing!”,“The Garlic Prawns are amazzzzzzing!”,40,223,"Chinese, Asian",$,cheap_eats
339,https://www.tripadvisor.com/Restaurants-g60713-oa330-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_1524,358. The Pub at Ghirardelli Square,"“... great drinks, and proper BBQ.....the brisket and the ribs are solid.....”","“... great drinks, and proper BBQ.....the brisket and the ribs are solid.....”",40,537,"American, Bar",$$ - $$$,mid_range
340,https://www.tripadvisor.com/Restaurants-g60713-oa330-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_1524,359. The Old Siam Thai Restaurant,“A large variety of traditional Thai food and some classic well known ones too”,“A large variety of traditional Thai food and some classic well known ones too”,40,607,"Asian, Thai",$$ - $$$,mid_range
341,https://www.tripadvisor.com/Restaurants-g60713-oa330-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_1524,360. Sons & Daughters,"“After all of that, the main course, duck with farro and a peppery California...”","“After all of that, the main course, duck with farro and a peppery California...”",45,181,Contemporary,$$$$,fine_dining
342,https://www.tripadvisor.com/Restaurants-g60713-oa360-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_1524,Pineapple Bistro & Bar,“Skip it”,“Skip it”,10,1,American,$$ - $$$,mid_range
343,https://www.tripadvisor.com/Restaurants-g60713-oa360-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_1524,361. Tu Lan,“Good flavor but noodle is under cooked.”,“Good flavor but noodle is under cooked.”,45,120,"Asian, Vietnamese",$,cheap_eats
344,https://www.tripadvisor.com/Restaurants-g60713-oa360-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_1524,362. Palette Tea House,“- Lobster Ha Gow (5/5): Loved this.”,“- Lobster Ha Gow (5/5): Loved this.”,45,45,"Chinese, Asian",$$ - $$$,mid_range
345,https://www.tripadvisor.com/Restaurants-g60713-oa360-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_1524,363. Canela Bistro Bar,"“The pinchos morunos, pork on skewers was our favorite.”","“The pinchos morunos, pork on skewers was our favorite.”",45,112,"Mediterranean, Spanish",$$ - $$$,mid_range
346,https://www.tripadvisor.com/Restaurants-g60713-oa360-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_1524,364. Chloe's Cafe,"“Bring your appetite as portions are generous and sides, such as salad , come w...”","“Bring your appetite as portions are generous and sides, such as salad , come w...”",45,87,"Cafe, American",$$ - $$$,mid_range
347,https://www.tripadvisor.com/Restaurants-g60713-oa360-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_1524,365. Oriental Pearl Restaurant,"“ Mongolian beef is really nice, best Chi...”","“ Mongolian beef is really nice, best Chi...”",40,697,"Chinese, Asian",$$ - $$$,mid_range
348,https://www.tripadvisor.com/Restaurants-g60713-oa360-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_1524,366. Pizzeria Delfina,“One of our favorite combinations in Italy was prosciutto and arugula.”,“One of our favorite combinations in Italy was prosciutto and arugula.”,45,132,"Italian, Pizza",$$ - $$$,mid_range
349,https://www.tripadvisor.com/Restaurants-g60713-oa360-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_1524,367. Town Hall,“... and the most amazing Mac and cheese !”,“... and the most amazing Mac and cheese !”,40,310,American,$$ - $$$,mid_range
350,https://www.tripadvisor.com/Restaurants-g60713-oa360-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_1524,368. Pier 23 Cafe Restaurant and Bar,“We stopped for a refreshing beverage and shared a crab Louie salad with a sid...”,“We stopped for a refreshing beverage and shared a crab Louie salad with a sid...”,40,845,"American, Bar",$$ - $$$,mid_range
351,https://www.tripadvisor.com/Restaurants-g60713-oa360-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_1524,369. Garibaldi's on Presidio,"“... pork sugo, pork chop, and halibut .”","“... pork sugo, pork chop, and halibut .”",45,182,American,$$ - $$$,mid_range
352,https://www.tripadvisor.com/Restaurants-g60713-oa360-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_1524,370. Chipotle Mexican Grill,“really good”,“really good”,40,240,"Mexican, Fast Food",$,cheap_eats
353,https://www.tripadvisor.com/Restaurants-g60713-oa360-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_1524,371. Kate's Kitchen,“5 stars breakfast spot ”,“5 stars breakfast spot ”,45,143,"American, Cafe",$,cheap_eats
354,https://www.tripadvisor.com/Restaurants-g60713-oa360-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_1524,372. Bursa,“The hummus was absolutely to die for!”,“The hummus was absolutely to die for!”,45,77,"Mediterranean, Middle Eastern",$$ - $$$,mid_range
355,https://www.tripadvisor.com/Restaurants-g60713-oa360-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_1524,373. Cornell Hotel De France,“... with choice options but recommend you don't go past the Escargot or Souffle .”,“... with choice options but recommend you don't go past the Escargot or Souffle .”,45,83,French,$$ - $$$,mid_range
356,https://www.tripadvisor.com/Restaurants-g60713-oa360-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_1524,374. The Chieftain Irish Pub & Restaurant,“I had Guinness and wings . .”,“I had Guinness and wings . .”,40,231,"American, Irish",$$ - $$$,mid_range
357,https://www.tripadvisor.com/Restaurants-g60713-oa360-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_1524,375. Sanraku at Metreon,“The Curry Udon was rich and bold..... very good.”,“The Curry Udon was rich and bold..... very good.”,40,145,"Japanese, Sushi",$$ - $$$,mid_range
358,https://www.tripadvisor.com/Restaurants-g60713-oa360-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_1524,376. Caffe Macaroni,"“... and pasta dishes , all excellent.”","“... and pasta dishes , all excellent.”",45,77,"Italian, Mediterranean",$$ - $$$,mid_range
359,https://www.tripadvisor.com/Restaurants-g60713-oa360-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_1524,377. Katana-ya,“Great Ramen and Sushi !!”,“Great Ramen and Sushi !!”,40,332,"Japanese, Sushi",$$ - $$$,mid_range
360,https://www.tripadvisor.com/Restaurants-g60713-oa360-San_Francisco_California.html#EATERY_LIST_CONTENTS,20200116_1524,378. Commonwealth - San Francisco,“... was the best I have ever had in my life - matcha meringue was sublime.”,“... was the best I have ever had in my life - matcha meringue was sublime.”,45,170,"American, Contemporary",$$$$,fine_dining
